step,reward,done
944,100.35212,False
945,95.23412,False
946,100.24789,False
947,100.311615,False
948,100.37531,False
949,100.388985,False
950,95.42105,False
951,100.4847,False
952,100.49832,False
953,100.56191,False
954,100.57547,False
955,95.40759,False
956,100.37113,False
957,100.43464,False
958,100.44812,False
959,100.51157,False
960,95.49375,False
961,100.55718,False
962,100.62058,False
963,95.5528,False
964,100.46618,False
965,95.44845,False
966,95.380745,False
967,100.34411,False
968,95.32645,False
969,100.389786,False
970,100.353096,False
971,100.416374,False
972,100.47963,False
973,100.542854,False
974,100.55606,False
975,100.56923,False
976,95.551636,False
977,100.51479,False
978,100.57791,False
979,95.56037,False
980,100.62347,False
981,100.63654,False
982,95.669044,False
983,100.73209,False
984,95.76463,False
985,100.82767,False
986,95.81024,False
987,95.84286,False
988,100.85587,False
989,100.86886,False
990,95.80151,False
991,95.78421,False
992,100.847176,False
993,100.91012,False
994,100.923035,False
995,100.88593,False
996,100.94879,False
997,100.96163,False
998,101.02445,False
999,96.00721,False
1000,100.97,False
1001,100.982765,False
1002,100.94551,False
1003,100.908226,False
1004,100.92091,False
1005,100.88358,False
1006,100.94622,False
1007,100.95884,False
1008,100.97143,False
1009,96.004265,False
1010,95.98713,False
1011,100.899704,False
1012,100.86225,False
1013,100.924774,False
1014,100.93728,False
1015,95.9702,False
1016,101.03268,False
1017,95.96564,False
1018,101.02809,False
1019,100.99053,False
1020,100.80294,False
1021,95.78594,False
1022,95.818985,False
1023,95.802055,False
1024,100.81445,False
1025,100.87683,False
1026,100.88918,False
1027,100.90151,False
1028,100.863815,False
1029,100.826096,False
1030,100.73835,False
1031,100.80058,False
1032,95.78372,False
1033,100.74593,False
1034,100.70812,False
1035,100.77029,False
1036,100.73243,False
1037,95.765625,False
1038,95.698845,False
1039,95.7321,False
1040,100.79423,False
1041,100.80634,False
1042,100.86842,False
1043,100.93049,False
1044,100.99253,False
1045,101.05454,False
1046,101.01654,False
1047,101.07851,False
1048,96.11183,False
1049,100.973785,False
1050,100.935715,False
1051,95.919075,False
1052,100.93099,False
1053,100.94288,False
1054,95.97628,False
1055,100.98815,False
1056,96.02159,False
1057,101.03345,False
1058,101.095276,False
1059,96.028755,False
1060,101.09057,False
1061,101.15236,False
1062,96.13588,False
1063,96.169426,False
1064,101.1312,False
1065,96.06479,False
1066,100.926544,False
1067,100.98828,False
1068,101.05,False
1069,101.06169,False
1070,95.99533,False
1071,101.057,False
1072,100.918655,False
1073,100.980286,False
1074,100.8919,False
1075,100.90349,False
1076,100.915054,False
1077,95.84875,False
1078,100.810295,False
1079,100.82182,False
1080,100.833336,False
1081,95.81707,False
1082,95.800835,False
1083,95.68462,False
1084,100.746124,False
1085,95.77995,False
1086,95.81381,False
1087,95.8477,False
1088,100.80919,False
1089,95.79311,False
1090,100.80459,False
1091,100.86604,False
1092,100.927475,False
1093,100.988884,False
1094,96.02285,False
1095,96.00685,False
1096,101.068245,False
1097,101.07963,False
1098,96.013664,False
1099,101.025024,False
1100,96.009094,False
1101,101.070435,False
1102,101.081764,False
1103,96.11587,False
1104,101.17718,False
1105,101.13846,False
1106,101.09973,False
1107,101.060974,False
1108,101.0222,False
1109,96.05636,False
1110,96.04054,False
1111,100.95175,False
1112,95.98597,False
1113,101.04717,False
1114,101.00835,False
1115,101.01951,False
1116,100.980644,False
1117,101.04176,False
1118,101.052864,False
1119,101.11394,False
1120,96.04822,False
1121,101.05928,False
1122,101.07032,False
1123,101.081345,False
1124,96.11566,False
1125,101.17667,False
1126,96.16101,False
1127,101.22201,False
1128,101.28298,False
1129,101.19393,False
1130,96.22832,False
1131,101.23926,False
1132,96.273674,False
1133,96.30812,False
1134,101.36905,False
1135,96.40353,False
1136,101.46444,False
1137,96.49895,False
1138,96.48348,False
1139,96.46804,False
1140,101.528946,False
1141,96.51354,False
1142,101.474434,False
1143,101.5353,False
1144,96.41993,False
1145,96.35458,False
1146,101.36545,False
1147,101.37629,False
1148,101.38711,False
1149,96.4218,False
1150,96.30652,False
1151,101.36733,False
1152,101.27812,False
1153,101.188896,False
1154,101.14965,False
1155,101.16039,False
1156,101.02111,False
1157,96.005875,False
1158,95.99068,False
1159,100.95138,False
1160,95.986206,False
1161,100.9969,False
1162,95.98176,False
1163,96.01664,False
1164,96.00155,False
1165,101.06223,False
1166,101.0729,False
1167,96.05784,False
1168,101.11849,False
1169,101.12913,False
1170,101.18974,False
1171,101.20034,False
1172,101.11092,False
1173,101.171486,False
1174,101.232025,False
1175,96.21702,False
1176,96.20204,False
1177,96.23708,False
1178,101.24762,False
1179,96.18269,False
1180,101.04322,False
1181,101.05373,False
1182,96.03883,False
1183,101.09933,False
1184,101.1598,False
1185,101.22025,False
1186,96.155396,False
1187,96.140564,False
1188,96.125755,False
1189,101.18621,False
1190,101.09664,False
1191,101.15705,False
1192,96.14228,False
1193,101.102684,False
1194,96.08794,False
1195,101.048325,False
1196,101.108696,False
1197,101.11905,False
1198,101.17938,False
1199,101.0897,False
1200,96.075,False
1201,101.13531,False
1202,96.120636,False
1203,96.10599,False
1204,96.141365,False
1205,96.176765,False
1206,96.11219,False
1207,101.02249,False
1208,96.057945,False
1209,101.11824,False
1210,96.15372,False
1211,101.214,False
1212,96.149506,False
1213,101.20977,False
1214,101.22002,False
1215,96.255554,False
1216,96.24112,False
1217,96.2767,False
1218,96.11231,False
1219,96.097946,False
1220,101.0582,False
1221,101.11843,False
1222,101.17864,False
1223,101.23884,False
1224,101.09902,False
1225,95.984695,False
1226,100.99486,False
1227,101.00501,False
1228,101.06515,False
1229,101.02526,False
1230,96.060974,False
1231,95.99671,False
1232,95.98247,False
1233,101.04258,False
1234,100.952675,False
1235,100.96275,False
1236,100.97282,False
1237,100.982864,False
1238,100.99289,False
1239,101.00291,False
1240,101.0129,False
1241,101.02289,False
1242,101.03285,False
1243,100.9928,False
1244,100.952736,False
1245,101.01265,False
1246,96.04848,False
1247,101.05838,False
1248,96.09423,False
1249,101.15412,False
1250,96.14,False
1251,96.0759,False
1252,96.111824,False
1253,96.147766,False
1254,96.18373,False
1255,101.19363,False
1256,96.129616,False
1257,101.0895,False
1258,101.099365,False
1259,95.98538,False
1260,95.97143,False
1261,101.03129,False
1262,95.967354,False
1263,95.953445,False
1264,100.96329,False
1265,95.94941,False
1266,100.95924,False
1267,100.869064,False
1268,95.7552,False
1269,95.791374,False
1270,95.627556,False
1271,100.637375,False
1272,100.59717,False
1273,95.633385,False
1274,100.69317,False
1275,100.752945,False
1276,95.73918,False
1277,100.79894,False
1278,95.78521,False
1279,100.79496,False
1280,100.70469,False
1281,100.764404,False
1282,95.800705,False
1283,95.83702,False
1284,100.846725,False
1285,100.85642,False
1286,95.842766,False
1287,100.85245,False
1288,100.81211,False
1289,95.798485,False
1290,95.834885,False
1291,100.79454,False
1292,95.83096,False
1293,100.84061,False
1294,100.90023,False
1295,100.90984,False
1296,100.91944,False
1297,95.8059,False
1298,95.79237,False
1299,100.80196,False
1300,100.81154,False
1301,95.79804,False
1302,100.857605,False
1303,95.84413,False
1304,100.85368,False
1305,100.86322,False
1306,100.82274,False
1307,95.75929,False
1308,100.81881,False
1309,100.8283,False
1310,95.86488,False
1311,100.92437,False
1312,95.91097,False
1313,95.9476,False
1314,95.984245,False
1315,101.043724,False
1316,101.103195,False
1317,96.13986,False
1318,101.04932,False
1319,96.08601,False
1320,96.12273,False
1321,96.05946,False
1322,96.096214,False
1323,101.15567,False
1324,96.14245,False
1325,96.02924,False
1326,100.93869,False
1327,100.94811,False
1328,100.95753,False
1329,95.994354,False
1330,100.75376,False
1331,95.79061,False
1332,100.75,False
